BSE_CODE,BSE_NAME,BSE_SYMBOL,BSE_SECURITY_NAME,Status,Group,BSE_FACE_VALUE,ISIN,Instrument,NSE_SYMBOL,NSE_NAME,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,NSE_FACE_VALUE,CompanyName,Ticker,Exchange
,,,,,,,INE0NN720012,,ATL-RE,Allcargo Terminals Ltd-RE,BE,24-Nov-25,2,1,2,Allcargo Terminals Ltd-RE,ATL-RE.NS,NSE
,,,,,,,INE351Y01019,,BETA,Beta Drugs Limited,EQ,24-Nov-25,10,1,10,Beta Drugs Limited,BETA.NS,NSE
531201,Shilchar Technologies Ltd.,SHILCTECH,Shilchar Technologies Ltd,Active,B ,10,INE024F01011,Equity,SHILCTECH,Shilchar Technologies Limited,EQ,24-Nov-25,10,1,10,Shilchar Technologies Limited,SHILCTECH.NS,BOTH
544614,Capillary Technologies India Limited,CAPILLARY,Capillary Technologies India Ltd,Active,B ,2,INE0ILV01024,Equity,CAPILLARY,Capillary Technologies India Limited,EQ,21-Nov-25,2,1,2,Capillary Technologies India Limited,CAPILLARY.NS,BOTH
544613,Fujiyama Power Systems Limited,UTLSOLAR,Fujiyama Power Systems Ltd,Active,B ,1,INE12UR01024,Equity,UTLSOLAR,Fujiyama Power Systems Limited,EQ,20-Nov-25,1,1,1,Fujiyama Power Systems Limited,UTLSOLAR.NS,BOTH
544612,Tenneco Clean Air India Limited,TENNIND,Tenneco Clean Air India Ltd,Active,B ,10,INE19RI01016,Equity,TENNIND,Tenneco Clean Air India Limited,EQ,19-Nov-25,10,1,10,Tenneco Clean Air India Limited,TENNIND.NS,BOTH
544608,Emmvee Photovoltaic Power Limited,EMMVEE,Emmvee Photovoltaic Power Ltd,Active,B ,2,INE1C6T01020,Equity,EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-Nov-25,2,1,2,Emmvee Photovoltaic Power Limited,EMMVEE.NS,BOTH
544609,Physicswallah Limited,PWL,Physicswallah Ltd,Active,B ,1,INE0LP301011,Equity,PWL,Physicswallah Limited,EQ,18-Nov-25,1,1,1,Physicswallah Limited,PWL.NS,BOTH
543539,MODI’S NAVNIRMAN LIMITED,MODIS,Modis Navnirman Ltd,Active,B ,10,INE0L0L01012,Equity,MODIS,Modis Navnirman Limited,EQ,14-Nov-25,10,1,10,Modis Navnirman Limited,MODIS.NS,BOTH
544606,Pine Labs Limited,PINELABS,Pine Labs Ltd,Active,B ,1,INE15B701018,Equity,PINELABS,Pine Labs Limited,EQ,14-Nov-25,1,1,1,Pine Labs Limited,PINELABS.NS,BOTH
,,,,,,,INE719F01016,,SHIVAUM,Shiv Aum Steels Limited,EQ,14-Nov-25,10,1,10,Shiv Aum Steels Limited,SHIVAUM.NS,NSE
544446,Advent Hotels International Limited,ADVENTHTL,Advent Hotels International Ltd,Active,T ,10,INE28GN01010,Equity,ADVENTHTL,Advent Hotels International Limited,BE,13-Nov-25,10,1,10,Advent Hotels International Limited,ADVENTHTL.NS,BOTH
544603,Billionbrains Garage Ventures Limited,GROWW,Billionbrains Garage Ventures Ltd,Active,B ,2,INE0HOQ01053,Equity,GROWW,Billionbrains Garage Ventures Limited,EQ,12-Nov-25,2,1,2,Billionbrains Garage Ventures Limited,GROWW.NS,BOTH
544569,Tata Motors Limited,TMCV,Tata Motors Ltd,Active,T ,2,INE1TAE01010,Equity,TMCV,Tata Motors Limited,BE,12-Nov-25,2,1,2,Tata Motors Limited,TMCV.NS,BOTH
544600,Lenskart Solutions Limited,LENSKART,Lenskart Solutions Ltd,Active,B ,2,INE956O01016,Equity,LENSKART,Lenskart Solutions Limited,EQ,10-Nov-25,2,1,2,Lenskart Solutions Limited,LENSKART.NS,BOTH
544597,Piramal Finance Limited,PIRAMALFIN,Piramal Finance Ltd,Active,B ,2,INE202B01038,Equity,PIRAMALFIN,Piramal Finance Limited,EQ,7-Nov-25,2,1,2,Piramal Finance Limited,PIRAMALFIN.NS,BOTH
544599,Studds Accessories Limited,STUDDS,Studds Accessories Ltd,Active,B ,5,INE00Q601028,Equity,STUDDS,Studds Accessories Limited,EQ,7-Nov-25,5,1,5,Studds Accessories Limited,STUDDS.NS,BOTH
544595,Orkla India Limited,ORKLAINDIA,Orkla India Ltd,Active,B ,1,INE16NZ01023,Equity,ORKLAINDIA,Orkla India Limited,EQ,6-Nov-25,1,1,1,Orkla India Limited,ORKLAINDIA.NS,BOTH
544587,Midwest Limited,MIDWESTLTD,Midwest Ltd,Active,B ,5,INE0XAD01024,Equity,MIDWESTLTD,Midwest Limited,EQ,24-Oct-25,5,1,5,Midwest Limited,MIDWESTLTD.NS,BOTH
544583,Canara HSBC Life Insurance Company Limited,CANHLIFE,Canara HSBC Life Insurance Company Ltd,Active,B ,10,INE01TY01017,Equity,CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-Oct-25,10,1,10,Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,BOTH
544580,Canara Robeco Asset Management Company Limited,CRAMC,Canara Robeco Asset Management Company Ltd,Active,B ,10,INE218I01013,Equity,CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-Oct-25,10,1,10,Canara Robeco Asset Management Company Limited,CRAMC.NS,BOTH
544578,RUBICON RESEARCH LIMITED,RUBICON,Rubicon Research Ltd,Active,B ,1,INE506V01022,Equity,RUBICON,Rubicon Research Limited,EQ,16-Oct-25,1,1,1,Rubicon Research Limited,RUBICON.NS,BOTH
538446,MONEYBOXX FINANCE LIMITED,MONEYBOXX,Moneyboxx Finance Ltd,Active,B ,10,INE296Q01012,Equity,MONEYBOXX,Moneyboxx Finance Limited,EQ,15-Oct-25,10,1,10,Moneyboxx Finance Limited,MONEYBOXX.NS,BOTH
544576,LG Electronics India Limited,LGEINDIA,LG Electronics India Ltd,Active,B ,10,INE324D01010,Equity,LGEINDIA,LG Electronics India Limited,EQ,14-Oct-25,10,1,10,LG Electronics India Limited,LGEINDIA.NS,BOTH
543364,Markolines Pavement Technologies Limited,MARKOLINES,Markolines Pavement Technologies Ltd,Active,B ,10,INE0FW001016,Equity,MARKOLINES,Markolines Pavement Technologies Limited,EQ,14-Oct-25,10,1,10,Markolines Pavement Technologies Limited,MARKOLINES.NS,BOTH
544574,Tata Capital Limited,TATACAP,Tata Capital Ltd,Active,A ,10,INE976I01016,Equity,TATACAP,Tata Capital Limited,EQ,13-Oct-25,10,1,10,Tata Capital Limited,TATACAP.NS,BOTH
544570,WeWork India Management Limited,WEWORK,WeWork India Management Ltd,Active,B ,10,INE085001019,Equity,WEWORK,WeWork India Management Limited,EQ,10-Oct-25,10,1,10,WeWork India Management Limited,WEWORK.NS,BOTH
544562,Advance Agrolife Limited,ADVANCE,Advance Agrolife Ltd,Active,B ,10,INE1B0W01010,Equity,ADVANCE,Advance Agrolife Limited,EQ,8-Oct-25,10,1,10,Advance Agrolife Limited,ADVANCE.NS,BOTH
544564,Om Freight Forwarders Limited,OMFREIGHT,Om Freight Forwarders Ltd,Active,B ,10,INE1BZC01019,Equity,OMFREIGHT,Om Freight Forwarders Limited,EQ,8-Oct-25,10,1,10,Om Freight Forwarders Limited,OMFREIGHT.NS,BOTH
,,,,,,,INE880Y01017,,SOLEX,Solex Energy Limited,EQ,8-Oct-25,10,1,10,Solex Energy Limited,SOLEX.NS,NSE
544558,Fabtech Technologies Limited,FABTECH,Fabtech Technologies Ltd,Active,B ,10,INE0HF201011,Equity,FABTECH,Fabtech Technologies Limited,EQ,7-Oct-25,10,1,10,Fabtech Technologies Limited,FABTECH.NS,BOTH
544557,Glottis Limited,GLOTTIS,Glottis Ltd,Active,B ,2,INE0TQE01026,Equity,GLOTTIS,Glottis Limited,EQ,7-Oct-25,2,1,2,Glottis Limited,GLOTTIS.NS,BOTH
544550,Pace Digitek Limited,PACEDIGITK,Pace Digitek Ltd,Active,B ,2,INE0S3G01027,Equity,PACEDIGITK,Pace Digitek Limited,EQ,6-Oct-25,2,1,2,Pace Digitek Limited,PACEDIGITK.NS,BOTH
526506,Systematix Corporate Services Ltd.,SYSTMTXC,Systematix Corporate Services Ltd,Active,B ,1,INE356B01024,Equity,SYSTMTXC,Systematix Corporate Services Limited,EQ,6-Oct-25,1,1,1,Systematix Corporate Services Limited,SYSTMTXC.NS,BOTH
544547,Jinkushal Industries Limited,JKIPL,Jinkushal Industries Ltd,Active,B ,10,INE1FF001016,Equity,JKIPL,Jinkushal Industries Limited,EQ,3-Oct-25,10,1,10,Jinkushal Industries Limited,JKIPL.NS,BOTH
544545,TRUALT BIOENERGY LIMITED,TRUALT,Trualt Bioenergy Ltd,Active,B ,10,INE0MWH01014,Equity,TRUALT,TruAlt Bioenergy Limited,EQ,3-Oct-25,10,1,10,TruAlt Bioenergy Limited,TRUALT.NS,BOTH
544543,BMW VENTURES LIMITED,BMWVENTLTD,BMW Ventures Ltd,Active,B ,10,INE965W01036,Equity,BMWVENTLTD,BMW Ventures Limited,EQ,1-Oct-25,10,1,10,BMW Ventures Limited,BMWVENTLTD.NS,BOTH
544540,Epack Prefab Technologies Limited,EPACKPEB,Epack Prefab Technologies Ltd,Active,B ,2,INE0MLS01022,Equity,EPACKPEB,EPack Prefab Technologies Limited,EQ,1-Oct-25,2,1,2,EPack Prefab Technologies Limited,EPACKPEB.NS,BOTH
508954,Finkurve Financial Services Limited,FINKURVE,Finkurve Financial Services Ltd,Active,B ,1,INE734I01027,Equity,FINKURVE,Finkurve Financial Services Limited,EQ,1-Oct-25,1,1,1,Finkurve Financial Services Limited,FINKURVE.NS,BOTH
544537,Jain Resource Recycling Limited,JAINREC,Jain Resource Recycling Ltd,Active,B ,2,INE0YD401026,Equity,JAINREC,Jain Resource Recycling Limited,EQ,1-Oct-25,2,1,2,Jain Resource Recycling Limited,JAINREC.NS,BOTH
544530,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,ARSSBL,Anand Rathi Share And Stock Brokers Ltd,Active,B ,5,INE549H01021,Equity,ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-Sep-25,5,1,5,Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS,BOTH
544534,Jaro Institute of Technology Management and Research Limited,JARO,Jaro Institute of Technology Management and Research Ltd,Active,B ,10,INE00YJ01010,Equity,JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-Sep-25,10,1,10,Jaro Institute of Technology Management and Research Limited,JARO.NS,BOTH
544533,Seshaasai Technologies Limited,STYL,Seshaasai Technologies Ltd,Active,B ,10,INE04VU01023,Equity,STYL,Seshaasai Technologies Limited,EQ,30-Sep-25,10,1,10,Seshaasai Technologies Limited,STYL.NS,BOTH
544532,Solarworld Energy Solutions Limited,SOLARWORLD,Solarworld Energy Solutions Ltd,Active,B ,5,INE0TY101024,Equity,SOLARWORLD,Solarworld Energy Solutions Limited,EQ,30-Sep-25,5,1,5,Solarworld Energy Solutions Limited,SOLARWORLD.NS,BOTH
544527,Atlanta Electricals Limited,ATLANTAELE,Atlanta Electricals Ltd,Active,B ,2,INE0Z4F01028,Equity,ATLANTAELE,Atlanta Electricals Limited,EQ,29-Sep-25,2,1,2,Atlanta Electricals Limited,ATLANTAELE.NS,BOTH
544528,Ganesh Consumer Products Limited,GANESHCP,Ganesh Consumer Products Ltd,Active,B ,10,INE652V01016,Equity,GANESHCP,Ganesh Consumer Products Limited,EQ,29-Sep-25,10,1,10,Ganesh Consumer Products Limited,GANESHCP.NS,BOTH
544525,GK ENERGY LIMITED,GKENERGY,GK Energy Ltd,Active,B ,2,INE1AG301022,Equity,GKENERGY,GK Energy Limited,EQ,26-Sep-25,2,1,2,GK Energy Limited,GKENERGY.NS,BOTH
543590,Rhetan TMT Limited,RHETAN,Rhetan TMT Ltd,Active,B ,1,INE0KKN01029,Equity,RHETAN,Rhetan TMT Limited,EQ,26-Sep-25,1,1,1,Rhetan TMT Limited,RHETAN.NS,BOTH
544526,Saatvik Green Energy Limited,SAATVIKGL,Saatvik Green Energy Ltd,Active,B ,2,INE13B501022,Equity,SAATVIKGL,Saatvik Green Energy Limited,EQ,26-Sep-25,2,1,2,Saatvik Green Energy Limited,SAATVIKGL.NS,BOTH
544523,IVALUE INFOSOLUTIONS LIMITED,IVALUE,Ivalue Infosolutions Ltd,Active,B ,2,INE056801025,Equity,IVALUE,Ivalue Infosolutions Limited,EQ,25-Sep-25,2,1,2,Ivalue Infosolutions Limited,IVALUE.NS,BOTH
544522,A B Cotspin India Limited,ABCOTS,A B Cotspin India Ltd,Active,B ,10,INE08PH01015,Equity,ABCOTS,A B Cotspin India Limited,EQ,24-Sep-25,10,1,10,A B Cotspin India Limited,ABCOTS.NS,BOTH
544521,VMS TMT LIMITED,VMSTMT,VMS TMT Ltd,Active,B ,10,INE0SJA01013,Equity,VMSTMT,VMS TMT Limited,EQ,24-Sep-25,10,1,10,VMS TMT Limited,VMSTMT.NS,BOTH
544519,EURO PRATIK SALES LIMITED,EUROPRATIK,Euro Pratik Sales Ltd,Active,B ,1,INE198501012,Equity,EUROPRATIK,Euro Pratik Sales Limited,EQ,23-Sep-25,1,1,1,Euro Pratik Sales Limited,EUROPRATIK.NS,BOTH
